Item_Identifier,Item_Weight,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Item_Outlet_Sales,Outlet_Age,Item_Visibility_bins,regular,Supermarket Type1,Supermarket Type2,Supermarket Type3,food,non-consumable
food,9.3,249.8092,OUT049,1,0,3735.138,23,1,0,1,0,0,1,0
drinks,5.92,48.2692,OUT018,1,2,443.4228,13,1,1,0,1,0,0,0
food,17.5,141.618,OUT049,1,0,2097.27,23,1,0,1,0,0,1,0
food,19.2,182.095,OUT010,1,2,732.38,24,1,1,0,0,0,1,0
non-consumable,8.93,53.8614,OUT013,0,2,994.7052,35,1,0,1,0,0,0,1
food,10.395,51.4008,OUT018,1,2,556.6088,13,1,1,0,1,0,1,0
food,13.65,57.6588,OUT013,0,2,343.5528,35,1,1,1,0,0,1,0
food,12.792854228644991,107.7622,OUT027,1,2,4022.7636,37,2,0,0,0,1,1,0
food,16.2,96.9726,OUT045,1,1,1076.5986,20,1,1,1,0,0,1,0
food,19.2,187.8214,OUT017,1,1,4710.535,15,2,1,1,0,0,1,0
food,11.8,45.5402,OUT049,1,0,1516.0266,23,1,0,1,0,0,1,0
food,18.5,144.1102,OUT046,2,0,2187.153,25,1,1,1,0,0,1,0
food,15.1,145.4786,OUT049,1,0,1589.2646,23,2,1,1,0,0,1,0
food,17.6,119.6782,OUT046,2,0,2145.2076,25,1,1,1,0,0,1,0
food,16.35,196.4426,OUT013,0,2,1977.426,35,2,0,1,0,0,1,0
food,9.0,56.3614,OUT046,2,0,1547.3192,25,2,1,1,0,0,1,0
non-consumable,11.8,115.3492,OUT018,1,2,1621.8888,13,1,0,0,1,0,0,1
food,9.0,54.3614,OUT049,1,0,718.3982,23,2,1,1,0,0,1,0
drinks,12.792854228644991,113.2834,OUT027,1,2,2303.668,37,1,0,0,0,1,0,0
food,13.35,230.5352,OUT035,2,1,2748.4224,18,2,0,1,0,0,1,0
food,18.85,250.8724,OUT013,0,2,3775.086,35,0,1,1,0,0,1,0
food,12.792854228644991,144.5444,OUT027,1,2,4064.0432,37,1,1,0,0,1,1,0
non-consumable,14.6,196.5084,OUT035,2,1,1587.2672,18,1,0,1,0,0,0,1
food,12.792854228644991,107.6938,OUT019,2,0,214.3876,37,1,0,0,0,0,1,0
food,13.85,165.021,OUT046,2,0,4078.025,25,1,1,1,0,0,1,0
non-consumable,13.0,45.906,OUT017,1,1,838.908,15,2,0,1,0,0,0,1
food,7.645,42.3112,OUT035,2,1,1065.28,18,2,1,1,0,0,1,0
drinks,11.65,39.1164,OUT013,0,2,308.9312,35,1,0,1,0,0,0,0
food,5.925,45.5086,OUT010,1,2,178.4344,24,0,1,0,0,0,1,0
food,12.792854228644991,43.6454,OUT019,2,0,125.8362,37,2,1,0,0,0,1,0
food,19.25,55.7956,OUT010,1,2,163.7868,24,0,0,0,0,0,1,0
non-consumable,18.6,96.4436,OUT018,1,2,2741.7644,13,2,0,0,1,0,0,1
food,18.7,256.6672,OUT018,1,2,3068.0064,13,1,0,0,1,0,1,0
food,17.85,93.1436,OUT045,1,1,2174.5028,20,1,0,1,0,0,1,0
drinks,17.5,174.8738,OUT046,2,0,2085.2856,25,2,0,1,0,0,0,0
non-consumable,10.0,146.7102,OUT049,1,0,3791.0652,23,2,0,1,0,0,0,1
food,12.792854228644991,128.0678,OUT027,1,2,2797.6916,37,1,1,0,0,1,1,0
drinks,8.85,122.5388,OUT018,1,2,1609.9044,13,2,1,0,1,0,0,0
food,12.792854228644991,36.9874,OUT027,1,2,388.1614,37,2,1,0,0,1,1,0
food,12.792854228644991,87.6198,OUT027,1,2,2180.495,37,1,0,0,0,1,1,0
food,13.35,230.6352,OUT046,2,0,3435.528,25,2,0,1,0,0,1,0
food,9.8,126.002,OUT013,0,2,2150.534,35,1,0,1,0,0,1,0
food,13.6,192.9136,OUT049,1,0,2527.3768,23,2,0,1,0,0,1,0
food,21.35,259.9278,OUT018,1,2,6768.5228,13,2,0,0,1,0,1,0
food,12.15,126.5046,OUT013,0,2,373.5138,35,1,1,1,0,0,1,0
food,6.42,178.1002,OUT010,1,2,358.2004,24,2,0,0,0,0,1,0
non-consumable,19.6,153.3024,OUT045,1,1,2428.8384,20,1,0,1,0,0,0,1
food,10.0,265.2226,OUT045,1,1,5815.0972,20,1,0,1,0,0,1,0
food,15.85,60.622,OUT046,2,0,2576.646,25,2,1,1,0,0,1,0
non-consumable,7.39,143.8812,OUT046,2,0,3134.5864,25,2,0,1,0,0,0,1
food,10.195,141.5154,OUT013,0,2,850.8924,35,0,0,1,0,0,1,0
